number,value,datetime_start,datetime_complete,duration,params_agg_num_layers,params_alpha_physics,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
32,0.9786142001710864,2025-11-08 15:36:31.675567,2025-11-08 15:40:57.880856,0 days 00:04:26.205289,2,0.5818364836093946,128,5,0.40886876619476736,12,78,4.590884624369817,16,128,0.0009297504882370667,5,0.0010855665564102716,0.555838194741874,3,10,0.0006185407359353059,COMPLETE
33,0.8507795100222717,2025-11-08 15:40:57.880856,2025-11-08 15:46:44.527634,0 days 00:05:46.646778,2,0.4585036056746475,32,6,0.4534654229736624,11,61,4.140892366875461,16,128,0.002540735250610138,6,0.005468360020366608,0.3823800711231101,4,7,0.0004297314708147012,COMPLETE
34,0.9904761904761905,2025-11-08 15:46:44.527634,2025-11-08 15:57:48.661559,0 days 00:11:04.133925,1,0.28922897530010283,128,5,0.3618973162679619,10,80,4.680234536432846,16,128,0.0002453577253351682,5,0.06513892038522212,0.46489066279752167,5,8,0.0006240916591043041,COMPLETE
35,0.9862306368330465,2025-11-08 15:57:48.662559,2025-11-08 16:19:09.995003,0 days 00:21:21.332444,1,0.2793050490914368,32,5,0.36164324083209487,10,97,4.601418167203309,8,128,0.00021193939772665423,5,0.06367710999841775,0.6001302636671483,5,8,0.0006478636396386508,COMPLETE
36,0.8974583698510079,2025-11-08 16:19:09.996003,2025-11-08 16:23:14.875966,0 days 00:04:04.879963,1,0.22517435871550576,128,4,0.40172717172758715,15,79,4.73908030760005,2,128,0.00010051922371670761,6,0.05050148601634277,0.48706949212671125,5,7,0.0004967886279949478,COMPLETE
37,0.0,2025-11-08 16:23:14.876966,2025-11-08 16:23:15.835429,0 days 00:00:00.958463,1,0.13958339780926227,128,11,0.352890075209168,10,81,2.1518446053622893,16,128,0.00047530494790926856,4,0.030135645917256156,0.40752668340113607,5,10,0.00023265332044383288,COMPLETE
38,0.9896013864818024,2025-11-08 16:23:15.836429,2025-11-08 16:47:07.375006,0 days 00:23:51.538577,1,0.3600238744792748,32,7,0.32966217154458344,13,86,4.337496224316158,16,64,0.00021919048991819653,5,0.018714539811032768,0.15946515578588144,6,8,0.00033690746594272885,COMPLETE
39,0.8625514403292182,2025-11-08 16:47:07.376006,2025-11-08 16:50:49.672704,0 days 00:03:42.296698,3,0.2841385224801477,128,4,0.3772315447006006,12,99,3.6624367626326957,2,128,0.0025876796085159953,6,0.07470973646204128,0.6565532089319205,7,6,0.0003859329920709695,COMPLETE
40,0.9842931937172775,2025-11-08 16:50:49.673704,2025-11-08 16:56:12.866000,0 days 00:05:23.192296,4,0.2251985501581627,128,5,0.2887747604490462,11,73,4.453291123219959,16,128,5.53687024842438e-05,5,0.03628473823330288,0.5316098331936612,9,9,0.0007069388678672665,COMPLETE
41,0.9739583333333334,2025-11-08 16:56:12.867000,2025-11-08 17:00:12.924636,0 days 00:04:00.057636,2,0.47941143202203435,128,6,0.43902216467662775,11,56,4.061410296148235,16,128,0.0004030647730076483,5,0.052705202342733154,0.4534969896254121,3,9,0.0005236838294063674,COMPLETE
42,0.9896373056994818,2025-11-08 17:00:12.925635,2025-11-08 17:06:35.873294,0 days 00:06:22.947659,2,0.5685406661647223,128,5,0.4135509635046798,10,199,4.718465086361665,16,128,0.00029563893755199224,5,0.0041886982030992235,0.4683354719088266,4,8,0.0009877217354425697,COMPLETE
43,0.9904761904761905,2025-11-08 17:06:35.873294,2025-11-08 17:15:16.790998,0 days 00:08:40.917704,2,0.6010646894927418,128,5,0.4162403839781891,10,186,4.762595909609357,16,128,0.00017319247363304117,5,0.005298937056196931,0.4155308769918905,5,8,0.0007593452322291355,COMPLETE
44,0.989492119089317,2025-11-08 17:15:16.791998,2025-11-08 17:23:14.109021,0 days 00:07:57.317023,1,0.5615825042056242,128,5,0.38078190492281616,10,199,4.28552911455105,16,128,0.00028352714531062524,4,0.004372101132054331,0.42036939135175605,5,7,0.0005561199499425643,COMPLETE
45,0.9870578084555651,2025-11-08 17:23:14.109021,2025-11-08 17:31:56.206900,0 days 00:08:42.097879,3,0.66554216047484,128,4,0.4774328812865899,10,191,4.723474572835121,16,64,0.0008052132602289672,5,0.0024027714472786474,0.519927107304213,4,6,0.0006804391645143631,COMPLETE
46,0.980836236933798,2025-11-08 17:31:56.206900,2025-11-08 17:36:11.160250,0 days 00:04:14.953350,2,0.7193268200330207,128,5,0.4403381570802935,10,183,1.5739581516834849,8,128,0.00017432786613122794,5,0.008551983556992016,0.5692845496905186,5,8,0.0002462772044519176,COMPLETE
47,0.8978165938864628,2025-11-08 17:36:11.160250,2025-11-08 17:45:57.552883,0 days 00:09:46.392633,1,0.6265537001476031,32,4,0.4219133147686078,11,173,4.372605098813478,2,128,0.0010689213661180827,6,0.004345436183975535,0.4749792484505037,3,7,0.00036480502122885087,COMPLETE
48,0.8530947054436987,2025-11-08 17:45:57.553882,2025-11-08 17:48:39.939008,0 days 00:02:42.385126,2,0.6144018945106103,128,5,0.36227231440571434,10,153,0.5567790305824878,16,64,0.007812231912564764,5,0.0028263537985841027,0.375656340948817,6,8,0.0005106022301027697,COMPLETE
49,0.9010416666666666,2025-11-08 17:48:39.940008,2025-11-08 17:51:23.115583,0 days 00:02:43.175575,2,0.5370885862155982,128,7,0.41446597174804667,11,163,4.964008063682257,16,128,0.0018402694933379927,4,0.002004847817800763,0.4205515370721676,5,7,0.0007666367392674268,COMPLETE
