number,value,datetime_start,datetime_complete,duration,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
31,0.9939288811795317,2025-11-08 19:00:04.838522,2025-11-08 19:17:21.828919,0 days 00:17:16.990397,64,6,0.3460139008845144,18,144,3.044971936287654,4,128,0.0001551698334703673,4,0.006388499859631607,0.8960848849116492,6,2,0.0003111403382630213,COMPLETE
32,0.9879310344827587,2025-11-08 19:17:21.829918,2025-11-08 19:33:28.357713,0 days 00:16:06.527795,64,6,0.35867813905672674,19,144,3.514216036769814,4,128,0.00013323247800369476,4,0.006421826855773295,0.8380482939289532,6,3,0.00030084949202094694,COMPLETE
33,0.9879101899827288,2025-11-08 19:33:28.358712,2025-11-08 20:01:11.545135,0 days 00:27:43.186423,64,5,0.338049437621502,17,132,3.1625706847432444,4,128,0.00023711324069868774,5,0.0035970984456978644,0.8990610763367959,7,2,0.00013984332514349344,COMPLETE
34,0.9913494809688581,2025-11-08 20:01:11.546135,2025-11-08 20:12:59.675352,0 days 00:11:48.129217,64,7,0.33099664079073027,18,138,3.0486262274891565,16,128,0.00038919338328811086,3,0.012113814608661145,0.4628641439256214,6,4,0.0002927095538105211,COMPLETE
35,0.8986013986013986,2025-11-08 20:12:59.676351,2025-11-08 20:18:09.715067,0 days 00:05:10.038716,64,6,0.30690230520238987,20,125,4.119393396189821,4,128,0.0001588812987227709,6,0.007553671860253966,0.8109763468757791,5,2,8.019624749561843e-05,COMPLETE
36,0.9036777583187391,2025-11-08 20:18:09.716066,2025-11-08 20:24:35.616381,0 days 00:06:25.900315,64,5,0.3843264013117775,19,145,3.4573381878174727,4,64,0.0008321244872132225,4,0.00369768920961282,0.7578984452400116,4,5,0.0005650179542685433,COMPLETE
37,0.9825783972125436,2025-11-08 20:24:35.617380,2025-11-08 21:00:39.817490,0 days 00:36:04.200110,32,8,0.4130561761996399,17,138,2.0549658081188245,2,128,0.0003571092594920011,4,0.0023278364179385607,0.8589577801548999,7,6,9.800380946943953e-05,COMPLETE
38,0.8507795100222717,2025-11-08 21:00:39.817490,2025-11-08 21:04:19.511392,0 days 00:03:39.693902,64,4,0.3653017553534321,16,113,2.459818800759507,16,256,0.004194481747769252,5,0.017845007211097854,0.36128514873707085,5,3,2.0173945017739553e-05,COMPLETE
39,0.9704861111111112,2025-11-08 21:04:19.512391,2025-11-08 21:13:08.679892,0 days 00:08:49.167501,128,8,0.28293111028377205,15,89,3.9402499296675884,4,128,0.0005237074056898696,3,0.0014976751596099448,0.6102344111399158,6,2,5.2056790684801146e-05,COMPLETE
40,0.8974583698510079,2025-11-08 21:13:08.680891,2025-11-08 21:22:49.302560,0 days 00:09:40.621669,32,7,0.2380188294282634,18,95,2.708368472213831,2,256,0.00011672758481366194,6,0.00675698470308165,0.8658820595442941,4,1,0.00015697749893791985,COMPLETE
41,0.9904926534140017,2025-11-08 21:22:49.303559,2025-11-08 21:39:10.666688,0 days 00:16:21.363129,64,6,0.3422621919504409,18,145,2.7543639134040427,8,128,0.00015960395667629593,4,0.005604455279412655,0.8036901648306986,10,1,0.0003355121938418226,COMPLETE
42,0.9868766404199475,2025-11-08 21:39:10.667688,2025-11-08 22:00:35.748638,0 days 00:21:25.080950,64,6,0.3473217141731033,16,135,3.3557734286926837,4,128,0.00023890939260529125,4,0.009572283433735014,0.8961352461957777,9,2,0.000594156444523006,COMPLETE
43,0.9895470383275261,2025-11-08 22:00:35.749638,2025-11-08 22:09:36.385712,0 days 00:09:00.636074,64,6,0.32082913811882513,19,141,2.9493195989430294,8,128,0.00017369589560420356,4,0.0038103101436786236,0.8580257488007318,5,1,0.0003760757626780305,COMPLETE
44,0.9186440677966101,2025-11-08 22:09:36.385712,2025-11-08 22:15:49.680550,0 days 00:06:13.294838,64,5,0.35611731886036585,20,149,2.3612442632774675,16,64,0.00034166548352964254,4,0.005627090241803265,0.7961419592520653,9,1,0.00026151792072056653,COMPLETE
45,0.9947916666666666,2025-11-08 22:15:49.680550,2025-11-08 22:34:38.163245,0 days 00:18:48.482695,64,7,0.37657203116485827,18,77,2.745849200300303,8,128,0.0002508981302536189,4,0.008542153927822014,0.7406756173876804,6,4,0.0005034393951394636,COMPLETE
46,0.9013100436681223,2025-11-08 22:34:38.164244,2025-11-08 22:39:12.079765,0 days 00:04:33.915521,64,7,0.3967150678246593,12,73,4.398084376060172,2,256,0.0002686485985026241,5,0.008633607974232238,0.7327454751070122,6,4,0.000617915141420204,COMPLETE
47,0.9878260869565217,2025-11-08 22:39:12.080765,2025-11-08 22:48:58.520174,0 days 00:09:46.439409,128,8,0.44204977740635887,16,70,0.5031475534273353,4,128,0.00011836953991142998,4,0.025626587162931442,0.6627553707083703,5,4,0.00010345367736531037,COMPLETE
48,0.9852045256744996,2025-11-08 22:48:58.521174,2025-11-08 23:02:44.312472,0 days 00:13:45.791298,64,4,0.3763753441954154,19,79,2.6812056677284875,8,128,0.00038834213793787224,3,0.012890843717436314,0.21079437010511776,6,3,0.00018001153419215047,COMPLETE
49,0.9904761904761905,2025-11-08 23:02:44.313471,2025-11-08 23:24:58.885247,0 days 00:22:14.571776,64,7,0.4872411039579255,20,92,2.0988604598124736,4,128,0.0001006126047370775,5,0.016178769954267154,0.7465089206979433,7,6,4.376674083554638e-05,COMPLETE
