number,value,datetime_start,datetime_complete,duration,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
34,0.9815950920245399,2025-11-08 20:29:08.597808,2025-11-08 20:52:18.659884,0 days 00:23:10.062076,32,12,0.2826487062766876,20,125,2.8279560646832187,16,128,3.64506299347007e-05,3,0.7467197810399976,7,9,4.2762097863555355e-05,COMPLETE
35,0.9154811715481171,2025-11-08 20:52:18.660883,2025-11-08 21:01:26.980064,0 days 00:09:08.319181,32,11,0.3722151527597751,18,119,3.182417125122512,16,64,6.580636395141902e-05,2,0.4167196565314335,3,8,6.515527028046546e-05,COMPLETE
36,0.9895652173913043,2025-11-08 21:01:26.980064,2025-11-08 21:39:13.259235,0 days 00:37:46.279171,32,12,0.22515759764393245,20,132,3.310001021686836,16,128,1.5004373485270272e-05,3,0.8337203661705674,6,10,2.7807147533249177e-05,COMPLETE
37,0.9836629406706793,2025-11-08 21:39:13.260235,2025-11-08 22:06:22.722224,0 days 00:27:09.461989,32,12,0.2028691752091208,20,104,2.519433139134642,16,128,1.602168648054214e-05,3,0.8371282094969194,6,10,1.4372789409912202e-05,COMPLETE
38,0.983435047951177,2025-11-08 22:06:22.722224,2025-11-08 22:23:08.876462,0 days 00:16:46.154238,32,12,0.29159726183234147,14,92,3.3772893687873418,16,128,4.6408721799002275e-05,3,0.8306196917262557,7,10,3.167356574360844e-05,COMPLETE
39,0.9859894921190894,2025-11-08 22:23:08.876462,2025-11-08 22:53:20.255520,0 days 00:30:11.379058,32,11,0.2112879642678176,20,129,2.3245592176933267,16,128,1.534018412096377e-05,2,0.7382799394805557,6,9,2.0806887294616914e-05,COMPLETE
40,0.8507795100222717,2025-11-08 22:53:20.255520,2025-11-08 23:01:08.658068,0 days 00:07:48.402548,32,10,0.3116990686999133,18,121,1.848345678558835,8,128,0.004004766827618702,3,0.6917141236120044,4,8,3.806343411446082e-05,COMPLETE
41,0.885883347421809,2025-11-08 23:01:08.659068,2025-11-08 23:21:29.560732,0 days 00:20:20.901664,32,12,0.16187600141481406,19,134,2.9514201706451373,16,256,2.9014263473970435e-05,3,0.4733003445191845,5,7,8.667763302763973e-05,COMPLETE
42,0.8724489795918368,2025-11-08 23:21:29.561731,2025-11-08 23:49:35.670267,0 days 00:28:06.108536,32,12,0.11353309836470228,20,153,3.9413098069300263,2,64,1.0104503554556236e-05,3,0.8079571682307826,6,2,5.300027060955129e-05,COMPLETE
43,0.9208510638297872,2025-11-08 23:49:35.671266,2025-11-09 00:00:18.044586,0 days 00:10:42.373320,32,11,0.13270254863951622,19,68,3.3211418603888743,16,128,9.512628660172073e-05,2,0.6495903373369138,3,10,5.482182998231937e-05,COMPLETE
44,0.9141886151231946,2025-11-09 00:00:18.045586,2025-11-09 00:11:59.962918,0 days 00:11:41.917332,32,10,0.22048576637410963,20,188,3.0580132386495564,8,256,2.1536557359529418e-05,4,0.5075281694497752,8,5,7.188515762706368e-05,COMPLETE
45,0.9845360824742269,2025-11-09 00:11:59.962918,2025-11-09 00:41:47.248698,0 days 00:29:47.285780,32,12,0.36948253993684704,18,161,2.731965736804231,16,128,3.560354241579733e-05,5,0.7507964248414979,9,1,0.00010845296825902336,COMPLETE
46,0.9807355516637478,2025-11-09 00:41:47.249698,2025-11-09 00:51:33.010334,0 days 00:09:45.760636,32,11,0.47379446786730595,17,149,0.6713721759822486,16,128,4.931461003167229e-05,3,0.44063710787928095,6,6,3.36776944045732e-05,COMPLETE
47,0.9836065573770492,2025-11-09 00:51:33.010334,2025-11-09 00:59:17.153222,0 days 00:07:44.142888,64,12,0.18679258185002154,20,133,3.5198973000199505,16,256,1.3557475004430711e-05,6,0.5591409328767285,7,2,4.442726102250319e-05,COMPLETE
48,0.8997384481255449,2025-11-09 00:59:17.153222,2025-11-09 01:04:16.347389,0 days 00:04:59.194167,32,10,0.23345237986416328,19,167,3.800811585195137,8,128,0.0013082105990951044,4,0.8640294904498568,4,7,2.189838800711709e-05,COMPLETE
49,0.9930555555555556,2025-11-09 01:04:16.348389,2025-11-09 01:09:43.475920,0 days 00:05:27.127531,64,8,0.26655274361863057,19,111,1.1507647855603653,16,64,0.00039243713059758205,3,0.12348708337213626,5,9,5.557951675710709e-05,COMPLETE
